Model_Name,Brand,weight(pounds),Ratings,Price($),Color
T6,TOZO,0.01,4.27519,18,Black
TUNE 660NC,JBL,0.36875,0.04182,99,Black
T10,TOZO,0.00444,6.05813,16,Black
H4205,Philips Audio,0.33125,0.00664,31,Blue
NC25,Srhythm,0.39375,0.2322,56,Black
190319 - HP100,Maxell,0.15,0.04516,7,Black
WHCH710N,Sony,0.49375,0.1017,139,Black
Pro-10,OneOdio,0.6625,0.71,30,Black
JZ02,HROEENOI,0.6,0.06794,33,Black
AmazonBasics In-ear  with Mic,Amazon Basics,0.0265,0.2412,8,Black
Life Q20,Soundcore,0.58125,0.84293,64,Black
Performance Audio | SHP9600,Philips Audio,0.725,0.16854,54,Black
QuietComfort 45-,Bose,0.96875,0.21832,279,Black
Riff Wired,Skullcandy,0.00062,0.30808,13,Olive
HD 560S,Sennheiser,0.53125,0.02977,299,Black
WH-816,TUINYO,0.7375,0.29877,25,Gold
B01,OLA,0.5625,0.17894,14,Pink
Dime,Skullcandy,0.07062,0.78216,21,Grey
Wired ,WEIZY,0.02206,0.10263,10,White
Sports Over Head,Philips Audio,0.81875,0.00458,41,Black
HD 650,Sennheiser,0.56875,0.0459,365,Titan
Earbuds,Jogteg,0.18062,0.088,16,Green
H95,Bang & Olufsen,0.7125,0.00566,892,Grey
778,Gorsun,0.4875,0.10095,12,Black
Set,Skullcandy,0.044,0.01079,11,Black
HAKD7Y,JVC,0.44375,0.02791,19,Yellow
HP-200,Maxell,0.15,0.01214,9,White
MDR-V150,Sony,0.45,0.06416,27,Black
T22,Philips Audio,0.43125,0.10445,39,Black
Jib w/ Mic,Skullcandy,0.0875,0.20191,7,White
Jib True,Skullcandy,0.1075,0.33583,15,Grey
ATHM20xBT,Audio-Technica,0.08875,0.00415,79,Black
ATH-ANC7B SVIS,Audio-Technica,0.4375,0.04919,99,Silver
BE1032,APEKX,0.17,0.45874,31,Black
Kids Air Jammers,Helix,0.2,4e-05,17,Red
Major IV,Marshall,0.39375,0.09217,102,Black
MOMENTUM 4 Black,Sennheiser,0.64375,0.01883,399,Black
JBL Quantum 100 - Black,JBL,0.4875,0.22335,39,Black
 700,Bose,0.55,0.55266,283,Black
A3412011,Anker,0.03,0.12817,34,Black
YUSONIC KIDS BlueTOOTH  Blue,YUSONIC,0.325,0.01119,18,Blue
NEARPHONES,JVC,0.36875,0.00392,48,Black
ATH-EQ300M,Audio-Technica,0.04406,0.05573,22,Black
Hesh Evo,Skullcandy,0.44375,0.06788,64,White
Move Wireless,Jabra,0.06438,0.06103,25,Black
MDR7506,Sony,0.08438,0.00886,94,Black
190316,Maxell,0.14938,0.01797,8,White
M6,MEE audio,0.2,0.14498,23,Black
OEM,SAMSUNG,0.00062,0.11156,9,Black
HAEC25T,JVC,0.31875,0.00086,27,Black
SOUNDFORM Mini,Belkin,0.9,0.052,26,Blue
FBA_AS600MINI-SG,Aftershokz,0.08812,0.05275,129,Grey
Elite 3,Jabra,0.2875,0.10519,49,White
143550,Monoprice,0.75,7e-05,39,Black
Hyeing Active Noise Cancelling True Wireless Earbuds,Hyeing,0.24,0.04384,13,White
AfterShokz Open-Ear,Aftershokz,0.07938,0.07198,129,Blue
HX,Bang & Olufsen,0.63125,0.01047,499,Black
93969,Sakar,0.25,0.02503,14,Blue
BTH02,IClever,0.50625,0.16886,21,Purple
JBL T450BT,JBL,0.3125,0.02723,29,Black
SHK2000PK/27,Philips,0.11875,0.00773,15,Pink
HAENR15P,JVC,0.02,0.01377,19,Pink
AfterShokz Open Ear,Aftershokz,0.08812,0.18342,129,Black
Wired sports ,Philips Audio,0.04375,0.00388,24,Black
BuddyPhones Discover,ONANOFF,0.03938,0.00707,13,Pink
ATH-AD700X,Audio-Technica,0.07812,0.06921,159,Black
K702,AKG,0.5125,0.06813,245,Black
Elderly people,FSC,0.05294,0.00705,42,Black
Indy Evo,Skullcandy,0.12562,0.51267,20,Mint
U8,Otium,0.24,0.54939,18,White
Method Active,Skullcandy,0.0375,0.01994,14,Black
AS600SG,Aftershokz,0.08812,0.11194,129,Grey
Rapture Series,Ghostek,0.6875,0.00489,59,Black
QuietComfort 25,Bose,0.43125,0.24458,239,Black
SP1050,Sephia,0.03525,0.09851,14,Gold
Hesh 3,Skullcandy,0.4375,0.01275,99,Grey
HD 400S,Sennheiser,0.48125,0.02481,74,Black
HAFX1X,JVC,0.011,0.21259,29,Black
MDRE9LP/BLK,Sony,0.01325,0.24174,7,Black
JBL Quantum 400 - Black,JBL,0.60625,0.036,77,Black
JBL LIVE 660NC - Blue,JBL,0.58125,0.02222,169,Blue
HAEN10P,JVC,0.0125,0.02497,14,Pink
JBL Quantum 200 - Black,JBL,0.5375,0.02913,59,Black
Panasonic Deep Bass Wireless Bluetooth Immersive ,Panasonic,0.10625,0.00247,71,Black
DT 177X GO,DROP,0.9125,0.00218,325,Black
Massdrop x Koss Porta Pro X,DROP,0.125,0.00514,38,Blue
T6,TOZO,0.01,4.27614,18,Black
TUNE 660NC,JBL,0.36875,0.04196,99,Black
T10,TOZO,0.00444,6.05901,16,Black
Pro-10,OneOdio,0.6625,0.71027,30,Black
H4205,Philips Audio,0.33125,0.00668,31,Blue
NC25,Srhythm,0.39375,0.23261,56,Black
QuietComfort 45-,Bose,0.96875,0.21904,279,Black
190319 - HP100,Maxell,0.15,0.0452,7,Black
WHCH710N,Sony,0.49375,0.10193,139,Black
JZ02,HROEENOI,0.6,0.06806,33,Black
WH1000XM5/B,Sony,0.55,0.08423,348,Black
AmazonBasics In-ear  with Mic,Amazon Basics,0.0265,0.24124,8,Black
WH-816,TUINYO,0.7375,0.29891,25,Gold
B01,OLA,0.5625,0.17903,14,Pink
 700,Bose,0.55,0.55313,329,Black
Dime,Skullcandy,0.07062,0.7827,21,Grey
Wired,WEIZY,0.02206,0.10265,10,White
HD 650,Sennheiser,0.56875,0.04592,365,Titan
earbuds,Jogteg,0.18062,0.08802,16,Green
Wireless Noise Cancelling,Sony,0.08125,2e-05,139,Black
BE1032,APEKX,0.17,0.45884,31,Black
MDR-RF985RK,Sony,0.6625,0.09216,169,Black
HX,Bang & Olufsen,0.63125,0.01047,298,Gold
Crusher Evo,Skullcandy,0.00062,0.15608,199,Black
JBL Quantum 100 - Black,JBL,0.4875,0.22344,39,Black
JBL LIVE 660NC - White,JBL,0.58125,0.02232,169,White
JBL E55BT,JBL,0.5125,0.0208,89,Black
JBL Quantum 400 - Black,JBL,0.60625,0.03607,77,Black
JBL Quantum 200 - Black,JBL,0.5375,0.02914,59,Black
JBL TUNE 205BT - Black,JBL,0.03637,0.02778,19,Black
JBL Reflect Aero TWS,JBL,0.73125,0.00209,99,Black
JBL LIVE 300 - Black,JBL,0.145,0.20663,79,Black
Quantum ONE,JBL,0.8125,0.02112,299,Black
Reflect Contour 2.0,JBL,0.0375,0.00172,29,Black
JBL TUNE 750BTNC - Blue,JBL,0.4875,0.03217,79,Blue
205BT,JBL,0.03637,0.02213,24,Black
Live Pro 2,JBL,0.6,0.01552,149,Pink
JBL TUNE 220TWS - Green,JBL,0.12562,0.03312,74,Green
JBL TUNE 120TWS - Yellow,JBL,0.16062,0.00972,49,Yellow
Reflect Contour,JBL,0.03969,0.00231,34,White
JBL Endurance Peak - Black,JBL,0.21875,0.03331,49,Black
JBL Live Free NC Black,JBL,0.11875,0.01353,72,Black
JBLFREEWFHWLKBLKAM,JBL,0.4875,0.00021,99,Black
JBL T210,JBL,0.0375,0.00231,24,Gold
JBL UA Streak - Black,JBL,0.17,0.00072,139,Black
T10,TOZO,0.00444,6.05903,16,Black
Earbuds,Jogteg,0.18062,0.08802,16,Green
778,Gorsun,0.4875,0.10096,12,Black
True Wireless,JVC,0.2,0.00922,15,Black
Momentum 3 Wireless,Sennheiser,0.675,0.04015,499,White
JBuddies Pro,JLab,0.425,0.00362,35,Blue
IE 300,Sennheiser,0.00881,0.00641,199,Black
5200-UC-B,Global Teck Worldwide,0.22,0.00435,242,Black
Cystereo Fusion,Cystereo,0.01,0.00306,39,Black
ESS6001T-Gold,1MORE,0.0875,0.03262,139,Gold
Beoplay H4,Bang & Olufsen,0.5375,0.01772,199,Black
Sport2 Wireless,66 Audio,0.61875,0.00152,64,Red
Active Sport,Pyle,0.2,0.00297,37,Pink
SE-MS7BT-S,PIONEER,0.06875,0.01255,169,Silver
Air Cushion Wireless,JVC,0.2625,0.00107,21,Black
11641,TV Ears Inc,0.09875,0.05059,79,Black
Overhead,Philips Audio,0.8375,0.00856,99,Black
Focal Bathys Noise cancelling,Focal,0.1625,0.00073,799,Black
B01M19CBG9,Sony,0.04375,0.00605,24,Grey
ATH-SPORT50BTYL,Audio-Technica,0.3,0.00329,18,Yellow
AMPS AIR 2.0,SOL REPUBLIC,0.26875,0.01208,28,Gold
H2O TRI Multi-Sport,H2O Audio,0.07062,0.00045,58,Black
190338,Maxell,0.2,0.00456,12,Black
