Model_Name,Brand,weight(ounces),Ratings,Price($),Color
EarPods with Lightning Connector,Apple,,190157,16.22,White
MDRZX110/BLK ZX,Sony, 4.8 ounces ,100253,"ony SRS-XG300 X-Series Wireless Portable-Bluetooth Party-Speaker IP67 Waterproof and Dustproof with 25 Hour-Battery and Retractable Handle, Black- New",Black
T6,TOZO, 0.16 ounces ,238822,18.70,Black
Beats Solo3,Beats,,60433,120.88,Black
Beats Studio3,Beats,,30050,175.99,Matte Black
EarPods with 3.5mm Headphones Plug,Apple,,61207,16.99,White
TUNE 660NC,JBL, 5.9 ounces ,2337,99.95,Black
T10,TOZO, 0.071 ounces ,338421,16.73,Black
Crusher Evo,Skullcandy, 0.01 ounces ,8710,age 1 of 1,True Black
Eduvy Core,Eduvy, 5 ounces ,131,,24-Pack Mixed
,LWZCAM, 3.2 ounces ,3704,age 1 of 1,
ADHF-026-BLK,Avantree, 3.88 ounces ,1451,,Black
H4205,Philips Audio, 5.3 ounces ,372,31.03,Blue
NC25,Srhythm, 6.3 ounces ,12972,56.33,Matte Black
190319 - HP100,Maxell, 2.4 ounces ,2524,7.99,Black
WHCH710N,Sony, 7.9 ounces ,5682,139.95,Black
JBL Tune 125TWS - Black,JBL, 2.57 ounces ,30591,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
Pro-10,OneOdio, 10.6 ounces ,39663,30.39,Black
AirPods,Apple,,558622,age 1 of 1,White
Over Ear HT161K Headphones,Panasonic, 10.2 ounces ,27656,age 1 of 1,Black
H390 USB COMPUTER HEADSET,Logitech, 7 ounces ,47688,age 1 of 1,Black
JZ02,HROEENOI, 9.6 ounces ,3796,33.39,Black
WH1000XM5/B,Sony, 8.8 ounces ,4679,"ony SRS-XG300 X-Series Wireless Portable-Bluetooth Party-Speaker IP67 Waterproof and Dustproof with 25 Hour-Battery and Retractable Handle, Black- New",Black
LIVE 460NC,JBL, 7.4 ounces ,3624,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
Elite 45h,Jabra, 5.6 ounces ,1298,age 1 of 1  ,Titanium Black
AmazonBasics In-ear Headphones with Mic,Amazon Basics, 0.424 ounces ,13475,8.09,Black
Professional Studio Monitor Headphone,Audio-Technica, 11.4 x 10 x 4.1 inches ,13956,age 1 of 1,Black
