Model_Name,Brand,weight(pounds),Ratings,Price($),Color
T6,TOZO,0.01,4.275188365636093,18,Black
Beats Solo3,Beats,unknown,1.0818068064036261,120,Black
Beats Studio3,Beats,unknown,0.5379138986898093,175,Matte Black
EarPods with 3.5mm Headphones Plug,Apple,unknown,1.095662354261655,16,White
TUNE 660NC,JBL,0.36875,0.041817260718805774,99,Black
T10,TOZO,0.0044375,6.058132436840004,16,Black
H4205,Philips Audio,0.33125,0.006641354335050061,31,Blue
NC25,Srhythm,0.39375,0.23219678458203324,56,Matte Black
190319 - HP100,Maxell,0.15,0.045164789723264966,7,Black
WHCH710N,Sony,0.49375,0.10169685708199298,139,Black
Pro-10,OneOdio,0.6625,0.7099983709885593,30,Black
JZ02,HROEENOI,0.6,0.06793514744343661,33,Black
AmazonBasics In-ear Headphones with Mic,Amazon Basics,0.0265,0.2412011005672898,8,Black
Sennheiser HD 600,Sennheiser,unknown,0.03863084273595157,319,Black
Life Q20,Soundcore,0.58125,0.8429328650372973,64,Black
Performance Audio | SHP9600,Philips Audio,0.725,0.1685400298234402,54,Black
QuietComfort 45-Headphones,Bose,0.96875,0.21832333549938152,279,Black
Riff Wired,Skullcandy,0.000625,0.30808007575798263,13,Olive
HD 560S,Sennheiser,0.53125,0.029769736547677228,299,Black
WH-816,TUINYO,0.7375,0.2987714389541389,25,Rose Gold
B01,MIDOLA,0.5625,0.17894064132927334,14,Rose Pink
Dime,Skullcandy,0.070625,0.7821582074429712,21,Light Grey/Blue
Wired Headphones,WEIZY,0.0220625,0.10262772076237735,10,White
Sports Over Head,Philips Audio,0.81875,0.00458271350343077,41,Black
HD 650,Sennheiser,0.56875,0.045898739932798804,365,Titan
Earbuds,Jogteg,0.180625,0.088002420245569,16,Green
H95,Bang & Olufsen,0.7125,0.005656786980797356,892,Grey Mist
778,Gorsun,0.4875,0.10094500564783637,12,Black
Beats Flex,Beats,unknown,0.8218810248809121,44,Beats Black
Set,Skullcandy,0.044,0.010794438447534195,11,True Black
Has180b,JVC,unknown,0.03818331212038215,27,Black
HAKD7Y,JVC,0.44375,0.027908009186908476,19,Yellow
HP-200,Maxell,0.15,0.012137030294242429,9,White
MDR-V150,Sony,0.45,0.06415798904803077,27,Black
T22,Philips Audio,0.43125,0.10445364567390056,39,MidBlack
Jib w/ Mic,Skullcandy,0.0875,0.20190791252029552,7,White
Jib True,Skullcandy,0.1075,0.3358269739232861,15,Chill Grey
ATHM20xBT,Audio-Technica,0.08875,0.004153084112484135,79,Black
ATH-ANC7B SVIS,Audio-Technica,0.4375,0.04919256526338967,99,Silver
BE1032,APEKX,0.17,0.45873678218326913,31,Black
Kids Air Jammers,Helix,0.2,3.580244924555289e-05,17,Red/Blue
Major IV,Marshall,0.39375,0.09217340558267591,102,Black
MOMENTUM 4 Black,Sennheiser,0.64375,0.01883208830316082,399,Black
JBL Quantum 100 - Black,JBL,0.4875,0.2233535796183817,39,Black
Headphones 700,Bose,0.55,0.5526645077789771,283,Black
A3412011,Anker,0.03,0.12817276829907934,34,Black
YUSONIC KIDS BLUETOOTH HEADPHONES Blue,YUSONIC,0.325,0.011188265389235277,18,Dark blue
NEARPHONES,JVC,0.36875,0.003920368192388041,48,Black
ATH-EQ300M,Audio-Technica,0.0440625,0.05572651225070307,22,Black
Hesh Evo,Skullcandy,0.44375,0.06788144376956827,64,Clear Color
Beats EP,Beats,unknown,0.17681039559916295,129,Red
Move Wireless,Jabra,0.064375,0.0610252747390449,25,Black
MDR7506,Sony,0.084375,0.00886110618827434,94,Black
190316,Maxell,0.149375,0.01797282952126755,8,White
M6,MEE audio,0.2,0.14498201821986642,23,Black
OEM,SAMSUNG,0.000625,0.1115604318491428,9,Black
HAEC25T,JVC,0.31875,0.0008592587818932693,27,Black
SOUNDFORM Mini,Belkin,0.9,0.05200305752916557,26,Blue
FBA_AS600MINI-SG,Aftershokz,0.088125,0.05275490896332218,129,Slate Grey
Elite 3,Jabra,0.2875,0.10518759588343439,49,Light Beige
143550,Monoprice,0.75,7.160489849110578e-05,39,Black
Hyeing Active Noise Cancelling True Wireless Earbuds,Hyeing,0.24,0.04384009910117951,13,White
AfterShokz Open-Ear,Aftershokz,0.079375,0.07198082420818408,129,Ocean Blue
HX,Bang & Olufsen,0.63125,0.01047221640432422,499,Black 
93969,Sakar,0.25,0.02502591202264147,14,Blue and Pink
BTH02,IClever,0.50625,0.1688622518666502,21,Purple
JBL T450BT,JBL,0.3125,0.027227762651242972,29,Black
SHK2000PK/27,Philips,0.11875,0.007733329037039424,15,Pink
HAENR15P,JVC,0.02,0.013766041734915085,19,Pink
AfterShokz Open Ear,Aftershokz,0.088125,0.18341594748496745,129,Black
Wired sports headphones,Philips Audio,0.04375,0.0038845657431424885,24,Black
BuddyPhones Discover,ONANOFF,0.039375,0.007070983725996695,13,Pink
ATH-AD700X,Audio-Technica,0.078125,0.06920613439165374,159,Black
K702,AKG,0.5125,0.06813206091428714,245,Black
Elderly people,FSC,0.0529375,0.007053082501373919,42,Black
Indy Evo,Skullcandy,0.125625,0.5126731719716946,20,pure mint
U8,Otium,0.24,0.549388583673009,18,C
Lenovo SE-631TWC,Lenovo,unknown,0.0319894884009015,49,Dark Black
Method Active,Skullcandy,0.0375,0.019941964229772957,14,Black
AS600SG,Aftershokz,0.088125,0.11193635756622111,129,Gray
Rapture Series,Ghostek,0.6875,0.004887034322017969,59,Black
QuietComfort 25,Bose,0.43125,0.24458443202099456,239,Black
SP1050,Sephia,0.03525,0.09851043909913877,14,Gold
Hesh 3,Skullcandy,0.4375,0.012745671931416827,99,Gray
HD 400S,Sennheiser,0.48125,0.02481109732716815,74,Black
HAFX1X,JVC,0.011,0.21259494362009304,29,Black
MDRE9LP/BLK,Sony,0.01325,0.2417381373059731,7,Black
JBL Quantum 400 - Black,JBL,0.60625,0.03599936271640343,77,Black
Solo3,Beats,unknown,0.005603083306929027,228,Rose Gold
JBL LIVE 660NC - Blue,JBL,0.58125,0.022215419756865567,169,Blue
HAEN10P,JVC,0.0125,0.024972208348773138,14,Pink
JBL Quantum 200 - Black,JBL,0.5375,0.029125292461257276,59,Black
Panasonic Deep Bass Wireless Bluetooth Immersive Headphones,Panasonic,0.10625,0.0024703689979431493,71,Black
DT 177X GO,DROP,0.9125,0.002183949403978726,325,Black
Massdrop x Koss Porta Pro X,DROP,0.125,0.005137651466736839,38,MidBlue
EarPods with Lightning Connector,Apple,unknown,3.4052425526430263,16,White
T6,TOZO,0.01,4.2761371305411,18,Black
Beats Solo3,Beats,unknown,1.083095694576466,120,Black
Beats Studio3,Beats,unknown,0.5388984660440621,175,Matte Black
EarPods with 3.5mm Headphones Plug,Apple,unknown,1.0958771689571283,16,White
TUNE 660NC,JBL,0.36875,0.04196047051578799,99,Black
T10,TOZO,0.0044375,6.05900959684652,16,Black
Pro-10,OneOdio,0.6625,0.7102668893579009,30,Black
H4205,Philips Audio,0.33125,0.006677156784295614,31,Blue
NC25,Srhythm,0.39375,0.23260851274835712,56,Matte Black
