Model_Name,Brand,weight(pounds),Ratings,Price($),Color
MDRZX110/BLK ZX,Sony,0.3,1.794633570882584,unknown,Black
T6,TOZO,0.01,4.275188365636093,18,Black
TUNE 660NC,JBL,0.36875,0.0418172607188057,99,Black
T10,TOZO,0.0044375,6.058132436840004,16,Black
Crusher Evo,Skullcandy,0.000625,0.15590176523976,unknown,Black
Eduvy Core,Eduvy,0.3125,0.0023271592009609,unknown,Black
ADHF-026-BLK,Avantree,0.2425,0.0259567757030258,unknown,Black
H4205,Philips Audio,0.33125,0.00664135433505,31,Blue
NC25,Srhythm,0.39375,0.2321967845820332,56,Matte Black
190319 - HP100,Maxell,0.15,0.0451647897232649,7,Black
WHCH710N,Sony,0.49375,0.1016968570819929,139,Black
JBL Tune 125TWS - Black,JBL,0.160625,0.5475984612107314,unknown,Black
Pro-10,OneOdio,0.6625,0.7099983709885593,30,Black
Over Ear HT161K Headphones,Panasonic,0.6375,0.4950583669428826,unknown,Black
H390 USB COMPUTER HEADSET,Logitech,0.4375,0.8536556985863403,unknown,Black
JZ02,HROEENOI,0.6,0.0679351474434366,33,Black
WH1000XM5/B,Sony,0.55,0.0837419287853482,unknown,Black
LIVE 460NC,JBL,0.4625,0.064856136808319,unknown,Black
Elite 45h,Jabra,0.35,0.023217888335741,unknown,Black
AmazonBasics In-ear Headphones with Mic,Amazon Basics,0.0265,0.2412011005672898,8,Black
ZX110NC Noise Cancelling Headphones,Sony,0.33125,0.189538166305957,unknown,Black
SNWHCH510BK,Sony,0.29375,0.6125262029175416,unknown,Black
Life Q20,Soundcore,0.58125,0.8429328650372973,64,Black
WH1000XM4/B,Sony,0.5625,0.8337495368058129,unknown,Black
WH-816,ZIHNIC,0.70625,1.246766591302511,unknown,Orange
Hesh ANC,Skullcandy,0.0004375,0.0929968619153236,unknown,White
Performance Audio | SHP9600,Philips Audio,0.725,0.1685400298234402,54,Black
HBS-SL5,LG,0.09375,0.1538431244081407,unknown,Black
ATH-M30x,Audio-Technica,0.4875,0.1771863213162412,unknown,Black
HD 450BT White,Sennheiser,0.525,0.0731623050332873,unknown,White
